品牌,型号,类型,tags,上牌时间(年),里程数(万公里),价格(万)
宝马,3系 2013款 320Li 时尚型,自动,|0次过户|,2013,10,5.88
东风风光,风光580 2017款 1.5T CVT智尚型,自动,|0次过户|,2017,8.6,3.18
起亚,智跑 2018款 NP基本型,变速箱,|新上架||0次过户|,2019,3.5,3.8
中华,V5 2012款 1.6L 自动尊贵型,自动,|0次过户|,2011,9.6,1.28
长安欧尚,X5 2023款 畅享版 1.5T DCT豪华型,自动,|准新车||新上架||0次过户||原厂质保|,2023,1,3
奥迪,A6L 2010款 2.0 TFSI 基本型,手动,,2009,12.6,2.7
荣威,550 2013款 550S 1.8L 自动启臻版,自动,|0次过户|,2012,11.6,0.98
捷豹,XFL 2017款 XFL 2.0T 200PS 精英版,自动,|0次过户|,2017,6.8,10.65
长安,UNIV 2022款 1.5T 卓越型,自动,|0次过户||原厂质保|,2021,2.8,5.28
众泰,T600 2015款 2.0T DCT尊贵型,自动,|0次过户|,2014,9.7,1.39
大众,迈腾 2019款 330TSI DSG 尊贵型 国VI,自动,|0次过户|,2019,6.8,10.88
别克,英朗 2016款 15N 自动精英型,自动,|新上架||0次过户|,2016,7,2.98
大众,速腾 2019款 200TSI DSG时尚型 国V,自动,|0次过户|,2018,6,4.18
别克,昂科威 2014款 28T 四驱全能旗舰型,自动,|0次过户|,2015,9,6.18
大众,途观 2017款 300TSI 自动两驱丝绸之路风尚版,自动,|0次过户|,2016,8,5.54
别克,昂科威 2019款 28T 四驱精英型 国V,自动,|0次过户|,2018,8.6,7.38
马自达,3 昂克赛拉 2021款 2.0L 自动质炫版,自动,|0次过户|,2020,6.5,6.38
大众,途观L 2018款 380TSI 自动四驱豪华版,自动,|0次过户|,2019,6.4,10.38
奔驰,C级 2010款 C 200 CGI 时尚型,自动,|0次过户|,2013,11,3.88
雪铁龙,C4L 2014款 1.6THP 智驱版 自动劲智型,自动,|0次过户|,2013,8.2,2.05
奔驰,GLA 2016款 GLA 200 动感型,自动,|0次过户|,2017,9.5,7.88
凯迪拉克,CT6 2017款 28T 精英型,自动,|0次过户|,2017,7,11.38
东南,DX3 2018款 1.5T CVT尊贵型,自动,|0次过户|,2017,5.3,2.58
大众,帕萨特 2013款 1.8TSI DSG御尊版,自动,|0次过户|,2014,10,3.4
大众,迈腾 2012款 改款 1.8TSI 舒适型,自动,,2011,12,2.35
别克,英朗 2021款 典范 1.5L 自动进取型,自动,|准新车||0次过户||原厂质保|,2022,3,4.38
广汽传祺,影豹 2021款 270T 影豹J16版,自动,|0次过户|,2020,4.5,5.8
大众,凌渡 2022款 凌渡L 280TSI DSG酷辣版,自动,|准新车||0次过户||原厂质保|,2022,0.8,9.58
奥迪,A4L 2013款 35 TFSI 自动标准型,自动,|新上架|,2013,11.3,4.68
长安,CS35 2015款 1.6L 自动豪华型 国IV,自动,|新上架||0次过户|,2015,10,2
福特,蒙迪欧 2013款 2.0L GTDi200豪华型,自动,|0次过户|,2012,9.8,3.8
大众,途观L 2020款 330TSI 自动两驱智动豪华版 国VI,自动,|0次过户|,2019,5.6,10.58
宝马,3系 2013款 328Li 时尚型,自动,|新上架|,2012,13,5.68
哈弗,H6 2021款 第三代 2.0T 自动两驱Max,自动,|0次过户||原厂质保|,2021,5.3,6.88
长安欧尚,X5 2021款 1.5T DCT精英型,自动,|新上架||0次过户|,2021,6.8,3.18
奥迪,A6L 2014款 TFSI 标准型,自动,|0次过户|,2014,8.2,10.68
路虎,揽胜极光(进口) 2012款 2.0T 5门耀动版,自动,|0次过户|,2011,11.8,5.8
领克,05 2022款 2.0TD 两驱耀Halo 撞色轮毂版,自动,|0次过户||原厂质保|,2022,4.1,10.26
长安,奔奔EStar 2022款 赏心版 多彩款 磷酸铁锂,自动,|有VIN码||准新车||新上架||0次过户||原厂质保|,2022,3.9,4.8
福特,福克斯 2015款 三厢 1.6L 自动舒适型,自动,|有VIN码|,2016,9,3.68
领克,03 2019款 1.5TD DCT劲Pro版 国VI,自动,|有VIN码||0次过户|,2019,5,7.28
福特,福克斯 2012款 三厢 1.6L 自动舒适型,自动,|有VIN码||0次过户|,2013,11,2.18
斯柯达,昊锐 2012款 1.4TSI DSG优雅版,自动,|有VIN码||0次过户|,2012,12,2.88
丰田,RAV4荣放 2011款 2.0L 自动四驱版,自动,|有VIN码|,2011,16,3.38
丰田,卡罗拉 2013款 特装版 1.8L 手动至酷版GLi,手动,|有VIN码||0次过户|,2013,14,2.98
江铃,驭胜 2016款 驭胜S350 2.4T 自动四驱柴油豪华版5座,自动,|有VIN码||0次过户|,2017,8,7.88
日产,骊威 2013款 劲锐 1.6XL CVT舒适版,自动,|有VIN码||0次过户|,2014,7.4,4.38
福特,锐界(进口) 2012款 2.0T 精锐天窗版,自动,|有VIN码||0次过户|,2015,10.56,5.88
雪佛兰,迈锐宝 2014款 2.0L 自动舒适版,自动,|有VIN码||0次过户|,2014,11,3.88
雪佛兰,科鲁兹 2016款 1.4T DCG豪华版,自动,|有VIN码||0次过户|,2015,13,3.98
丰田,凯美瑞 2010款 200G 经典版,自动,|有VIN码||0次过户|,2011,10,3.99
现代,瑞纳 2010款 三厢 1.4L 自动舒适型GS,自动,|有VIN码||0次过户|,2011,9,2.38
福特,福克斯 2012款 两厢 1.6L 自动舒适型,自动,|有VIN码||新上架||0次过户|,2015,10.9,3.58
大众,帕萨特 2011款 1.8TSI DSG尊荣版,自动,|有VIN码||新上架||0次过户|,2011,10,3.88
吉利汽车,豪越 2022款 1.8TD DCT豪华型 7座,自动,|有VIN码||新上架||0次过户||原厂质保|,2021,2.5,8.38
长安,CS55PLUS 2020款 1.5T 自动炫色型,自动,|有VIN码||0次过户|,2020,2,7.58
日产,天籁 2021款 2.0L XL 舒适版,自动,|有VIN码||0次过户|,2020,5.8,10.48
雪铁龙,爱丽舍 2014款 1.6L 自动舒适型,自动,|有VIN码||0次过户|,2014,12,2.15
福特,福克斯 2012款 两厢 1.6L 自动风尚型,自动,|有VIN码|,2014,9.4,2.88
福特,翼虎 2015款 1.5L GTDi 两驱风尚型,自动,|有VIN码||0次过户|,2015,9.2,4.58
标致,308 2012款 1.6L 自动优尚型,自动,|有VIN码||0次过户|,2013,16,1.88
江淮,和悦 2012款 1.8L 自动商务尊贵型,自动,|有VIN码|,2012,14,0.95
雪铁龙,世嘉 2012款 两厢 1.6L 自动乐尚型,自动,|有VIN码|,2013,15,1.48
长安,逸动 2012款 1.6L 手动豪华型 国IV,手动,|有VIN码|,2012,11,0.98
长安,CS35 2014款 1.6L 自动豪华型 国IV,自动,|有VIN码||0次过户|,2014,9,2.68
标致,207 2011款 三厢 1.4L 手动驭乐版,手动,|有VIN码|,2013,17,0.88
比亚迪,速锐 2014款 1.5TID 自动豪华型,自动,|有VIN码||新上架||0次过户|,2014,5.6,2.15
奇瑞,瑞虎8 2018款 1.5TCI 自动豪华型 5座,自动,|有VIN码||0次过户|,2019,7.3,5.98
福特,福睿斯 2015款 1.5L 自动时尚型,自动,|有VIN码||0次过户|,2015,10,2.98
长安欧尚,CX70 2018款 CX70T 1.5T 自动舒擎版,自动,|有VIN码||0次过户|,2019,3.69,4.78
沃尔沃,S90 2020款 T5 智逸豪华版,自动,|有VIN码||0次过户|,2019,7.8,20
君马汽车,君马SEEK 5(赛克5) 2018款 1.5T 自动领智版,自动,|有VIN码||0次过户|,2019,5.2,3.88
Jeep,指南者 2021款 220T 自动领先版,自动,|有VIN码||0次过户||原厂质保|,2021,4.4,8.48
长安,逸动DT 2022款 PLUS 1.6L GDI CVT精英型,自动,|有VIN码||0次过户||原厂质保|,2022,1.96,6.28
标致,408 2013款 1.6L 自动舒适版,自动,|有VIN码|,2013,16,2.2
长安凯程,长安之星9 2015款 1.5L 标准型4G15S,手动,|有VIN码|,2016,9,1.68
大众,迈腾(进口) 2012款 旅行版 2.0TSI 豪华型,自动,|有VIN码|,2012,12.5,6.6
长安,逸动 2015款 1.6L 手动精英型 国V,手动,|有VIN码|,2014,9.8,1.48
大众,迈腾 2012款 改款 1.8TSI 豪华型,自动,|有VIN码|,2012,9.8,4.28
长安凯程,长安睿行M90 2018款 2.0L豪华型平顶背掀门4G94S,手动,|有VIN码|,2019,7.3,3.58
奥迪,A4L 2018款 30周年年型 40 TFSI 进取型,自动,|有VIN码|,2018,6.4,14.88
长安欧尚,X70A 2020款 1.5L 手动精英型,手动,|有VIN码||0次过户||原厂质保|,2021,2.4,4.68
福迪,探索者6 2011款 2.0 手动 两驱版,手动,|有VIN码||0次过户|,2012,12,0.88
金杯,海狮X30L 2016款 1.5L商务版DLCG14,手动,|有VIN码||0次过户|,2017,2.3,2.38
MINI,COUNTRYMAN 2016款 1.6T COOPER ALL4 Fun装备控,自动,|有VIN码|,2016,6.5,8.88
雪佛兰,迈锐宝 2014款 1.6T 自动舒适版,自动,|有VIN码|,2014,6.8,2.98
长安凯程,欧诺S 2015款 1.5L金欧诺精英型,手动,|有VIN码|,2016,7.8,1.68
大众,桑塔纳志俊 2008款 1.8L 手动实尚型,手动,|有VIN码||0次过户|,2012,9,0.98
长安凯程,欧诺S 2012款 1.3L标准型,手动,|有VIN码||新上架|,2012,15,0.58
别克,GL8 2021款 陆上公务舱 652T 舒适型,自动,|有VIN码||原厂质保|,2021,3.87,16.88
标致,308 2013款 1.6L 自动优尚型,自动,|有VIN码|,2014,10,1.98
东风小康,K07S 2015款 1.2L精典型DK1205,手动,|有VIN码||0次过户|,2016,9,0.88
东风风行,菱智PLUS 2022款 旅行版 2.0L 手动豪华型 9座,手动,|有VIN码||0次过户||原厂质保|,2021,4,6.28
长安凯程,长安之星 5 2022款 1.4L经典版客车JL473Q3,手动,|有VIN码||准新车||0次过户||原厂质保|,2023,1,3.58
路虎,揽胜极光 2015款 2.0T 五门风尚版,自动,|有VIN码||0次过户|,2014,9.6,6.58
哈弗,H6 2018款 蓝标 运动版 1.5T 自动两驱精英型,自动,|有VIN码||0次过户|,2017,7.1,3.2
凯迪拉克,XT5 2018款 25T 技术型,自动,|有VIN码||0次过户|,2018,6.4,10.6
雪铁龙,C4L 2015款 1.8L 自动领先版,自动,|有VIN码|,2015,8.6,2.88
日产,轩逸 2016款 1.6XL CVT豪华版,自动,|有VIN码||0次过户|,2016,8,4.98
现代,朗动 2016款 1.6L 自动智能型,自动,|有VIN码||0次过户|,2016,7.8,3.1
三菱,劲炫ASX 2016款 2.0L CVT两驱卓越版,自动,|有VIN码||0次过户|,2016,8.8,3.6
凯迪拉克,XTS 2015款 28T 精英型,自动,|有VIN码||0次过户|,2015,10.8,5.68
长安凯程,长安睿行M70 2019款 1.5L舒适型6座国VI平顶背掀门DAM15KL,手动,|有VIN码||0次过户||原厂质保|,2021,3.4,3.8
奔腾,B70 2011款 2.0L 自动时尚型,自动,|有VIN码|,2012,15,1.38
福特,锐界 2016款 EcoBoost 245 两驱豪锐型 7座,自动,|有VIN码|,2017,9.6,6.98
福特,福克斯 2013款 三厢经典 1.8L 手动基本型,手动,|有VIN码||0次过户|,2013,9.8,1.48
名爵,锐行 2016款 1.5T 自动超值豪华版,自动,|有VIN码||0次过户|,2019,5,2.98
吉利汽车,帝豪GL 2018款 1.8L 自动精英智联型,自动,|有VIN码|,2018,14,3.18
名爵,锐行 2016款 1.5 手动风尚版,手动,|有VIN码|,2017,10,1.68
猎豹汽车,猎豹CS10 2016款 2.0T 手动风尚型,手动,|有VIN码||0次过户|,2016,6.5,1.68
别克,君威 2014款 1.6T 时尚技术型,自动,|有VIN码||0次过户|,2014,7,4.1
吉利汽车,帝豪新能源 2018款 EV450 进取型,自动,|有VIN码|,2019,1.8,4.38
奇瑞新能源,艾瑞泽5e 2018款 450 智享版,自动,|有VIN码|,2018,2.1,2.98
福特,福克斯 2012款 三厢经典 1.8L 自动时尚型,自动,|有VIN码|,2012,12.6,1.98
五菱汽车,五菱宏光 2014款 1.5L 基本型,手动,|有VIN码||0次过户|,2015,4,1.88
大众,高尔夫 2015款 1.4TSI 自动舒适型,自动,|有VIN码||0次过户|,2014,9,3.99
马自达,3 昂克赛拉 2016款 三厢 1.5L 自动豪华型,自动,|新上架||0次过户|,2016,8.6,3.98
广汽传祺,影豹 2021款 270T 影豹J15版,自动,|0次过户|,2021,2.1,6
雪佛兰,迈锐宝 2017款 1.5T 自动舒适版,自动,|0次过户|,2017,8,2.52
哈弗,H6 2017款 蓝标 1.5T 自动两驱智尚型,自动,|0次过户|,2018,5.7,4.18
大众,朗逸 2022款 1.5L 自动舒适版,自动,|准新车||0次过户||原厂质保|,2022,1.8,6.98
雪铁龙,C5 2013款 2.0L 自动尊享型,自动,,2012,12.2,2.38
吉利汽车,博瑞 2018款 1.5T MHEV 耀驰版,自动,|0次过户|,2019,5.8,5.18
奔驰,S级 2006款 S 350,自动,|0次过户|,2006,15,4.98
起亚,K5 2017款 2.0L 自动15周年特别版LUX,自动,|0次过户|,2017,9.5,5.18
大众,甲壳虫 2014款 1.2TSI 时尚型,自动,,2013,9.8,4.98
奥迪,A6L 2012款 TFSI 标准型,自动,|0次过户|,2012,12,7.58
凯迪拉克,ATSL 2017款 28T 时尚型,自动,|新上架|,2016,8,7.38
名爵,MG6 2019款 20T 自动Trophy竞技版+运动尾排竞速套装,自动,|0次过户|,2019,6.8,4.28
比亚迪,S6 2013款 白金版 2.4L 自动精英型,自动,|新上架||0次过户|,2013,12.4,1.1
本田,雅阁 2008款 2.0L EX Navi,自动,|新上架||0次过户|,2008,10.5,2.08
大众,凌渡 2019款 230TSI DSG风尚版 国VI,自动,|0次过户|,2019,5,8.88
长安,锐程CC 2021款 蓝鲸版 1.5T DCT豪华型,自动,|0次过户||原厂质保|,2021,5.3,4.58
奥迪,A6L 2019款 40 TFSI 豪华动感型,自动,|新上架||0次过户|,2019,8,21.88
日产,轩逸 2019款 1.6XV CVT智联尊享版 国VI,自动,|新上架||0次过户|,2019,5.2,4.68
吉利汽车,嘉际 2021款 1.8TD DCT标准型,自动,|0次过户||原厂质保|,2021,3,4
大众,Polo 2014款 1.6L 自动舒适版,自动,,2013,9.8,2.43
比亚迪,宋Pro新能源 2022款 DMi 110km 旗舰型Pro,自动,|0次过户||原厂质保|,2022,2,8.58
雪佛兰,迈锐宝XL 2019款 基本型,变速箱,|新上架||0次过户|,2019,3,3.5
哈弗,H6 2012款 1.5T 手动两驱精英型,手动,,2013,9,1.38
标致,408 2015款 1.2T 自动荣耀版,自动,|0次过户|,2015,9,3.38
宝马,X5(进口) 2013款 xDrive35i 领先型,自动,|0次过户|,2013,13,9.88
长安,CS35 2015款 1.6L 手动尊贵型 国V,手动,|新上架||0次过户|,2015,8,1.98
荣威,360 2017款 1.5L 自动豪华版,自动,|0次过户|,2017,9.5,2.98
荣威,350 2015款 1.5 手动 讯捷版,手动,|0次过户|,2016,7,1.78
名爵,MG5 2021款 改款 180DVVT CVT青春豪华版,自动,|新上架||0次过户||原厂质保|,2022,2,6.08
哈弗,H2s 2017款 蓝标 1.5T 手动精英型,手动,|0次过户|,2017,5,4.28
别克,英朗XT 2013款 XT 1.6T 自动时尚运动版,自动,|0次过户|,2013,8,3.38
福特,福克斯 2011款 三厢 1.8L 自动时尚型,自动,,2012,14,1.28
奇瑞,艾瑞泽5 2016款 1.5L CVT领臻版,自动,|新上架||0次过户|,2017,7,2.98
宝马,7系 2009款 740Li领先型,自动,|0次过户|,2009,15,8.88
长安凯程,金牛星 2014款 1.2 手动 标准型,手动,|0次过户|,2014,6,0.76
吉利汽车,吉利GX7 2013款 2.0L 手动进取型,手动,|新上架||0次过户|,2015,8,1.28
金杯,快运 2017款 2.0L经典型V19,手动,|0次过户|,2016,6,2.28
金杯,海狮S 2021款 1.6L 财富中央空调版客车国VI SWD16M,手动,|0次过户|,2021,4,3.68
华泰,圣达菲 2012款 2.0 手动 两驱舒适型,手动,|0次过户|,2014,9,0.98
金杯,海狮 2011款 2.0L第五代快运王舒适Z型4G20B,手动,|0次过户|,2014,9,1.28
东风风光,风光330 2017款 1.5L手动实用型II DK15,手动,|0次过户|,2017,6.2,1.58
五菱汽车,五菱宏光 2014款 1.2L 基本型国IV,手动,|0次过户|,2016,8,1.68
长安凯程,长安之星9 2015款 1.5 手动 标准型7座,手动,|0次过户|,2019,6,2.28
宝骏,630 2011款 1.5L 手动 标准型,手动,|0次过户|,2013,8,0.88
五十铃,皮卡 2009款 2.8T四驱 基本型皮卡4JB1TCT,手动,,2016,9,3.68
哈弗,H6 哈弗H6 2014款 运动版 2.4L 自动精英型,自动,|0次过户|,2014,9,2.46
五菱汽车,五菱荣光V 2019款 1.5L标准型国VI LAR,手动,|0次过户|,2019,5,2.68
宝骏,730 2014款 1.5L 手动豪华型 7座,手动,|新上架|,2014,6,1.58
凯迪拉克,XT5 2016款 25T 豪华型,自动,|0次过户|,2016,7.2,10.58
长安,CS75 2020款 280T DCT尊贵型 国VI,自动,|0次过户|,2020,3.5,5.28
大众,速腾 2017款 1.6L 自动时尚型,自动,|0次过户|,2017,6,4.65
现代,菲斯塔 2019款 280TGDi 智速版 国VI,自动,|0次过户|,2018,5.8,5.38
现代,名图 2017款 1.6T 自动智能型GLS 国V,自动,|0次过户|,2017,7.5,4.88
奔驰,B级 2017款 B 200 时尚型,自动,|0次过户|,2016,6.8,7.58
长安,CS75 2021款 荣耀百版 280T DCT豪华型,自动,|0次过户||原厂质保|,2021,4,5.5
奔驰,A级(进口) 2020款 奔驰A级 改款 A 200 L 运动轿车动感型,自动,|0次过户|,2019,3,10.38
起亚,K3 2016款 1.6L 自动GLS,自动,|0次过户|,2016,7.5,3.58
大众,速腾 2021款 200TSI DSG时尚智联版,自动,|0次过户||原厂质保|,2021,3.5,6.78
宝马,3系 2017款 320Li 时尚型,自动,|0次过户|,2017,10,9.58
别克,昂科威 2019款 20T 两驱精英型 国VI,自动,|0次过户|,2018,6.8,6.8
起亚,KX5 2016款 1.6T 自动两驱DLX,自动,|0次过户|,2016,7.8,4.48
起亚,K3 2019款 1.5L CVT新锐版,自动,|0次过户|,2019,5,4.78
别克,威朗 2017款 三厢 20T 双离合精英型,自动,|0次过户|,2018,5.8,4.18
奔驰,GLK级 2014款 GLK 200 标准型,自动,|0次过户|,2014,9.8,7.98
吉利汽车,星瑞 2021款 2.0TD 精英型,自动,|0次过户||原厂质保|,2021,4.5,4.98
雪佛兰,探界者 2019款 535T 自动驰界版 国V,自动,|0次过户|,2019,5.8,6.38
大众,Polo 2016款 1.6L 自动豪华型,自动,|0次过户|,2015,6.5,3.45
别克,英朗 2021款 典范 1.5L 自动进取型,自动,|0次过户||原厂质保|,2021,3.5,4.58
奥迪,A4 2008款 1.8T 自动豪华型,自动,,2008,9,1.68
大众,Polo 2021款 Plus 1.5L 自动炫彩科技版,自动,|0次过户||原厂质保|,2021,3.5,5.48
宝马,5系 2014款 525Li 豪华设计套装,自动,|新上架||0次过户|,2014,10,9.8
福特,福睿斯 2021款 1.5L 自动钻石版,自动,|0次过户||原厂质保|,2021,2.9,4.85
马自达,3 昂克赛拉 2014款 三厢 1.5L 自动豪华型,自动,|0次过户|,2014,10,3.28
奥迪,A5 2013款 Sportback 40 TFSI风尚版,自动,,2013,11,6.58
起亚,智跑 2012款 2.0L 自动两驱版GL,自动,,2011,13.5,2.18
名爵,MG6 2015款 掀背 1.8L 90周年赛道冠军版自动舒适型,自动,|新上架||0次过户|,2015,7.5,2.05
大众,途岳 2019款 280TSI 两驱风尚版 国VI,自动,|0次过户|,2019,4,6.68
奥迪,A6L 2015款 TFSI 百纪念智领型,自动,|新上架||0次过户|,2015,9,10.28
名爵,6 2012款 掀背 1.8L 自动精英版,自动,|0次过户|,2012,8,0.98
宝马,Z4 2012款 sDrive20i十周年版,自动,,2012,9.5,9.18
奥迪,A4L 2016款 35 TFSI 自动标准型,自动,|新上架||0次过户|,2016,7,7.28
奥迪,A4L 2017款 Plus 40 TFSI 进取型,自动,|新上架||0次过户|,2017,7,10.28
本田,雅阁 2022款 260TURBO 豪华版,自动,|0次过户||原厂质保|,2022,4.2,11.5
宝马,3系 2015款 320Li 时尚型,自动,|新上架||0次过户|,2015,9.2,7.48
奥迪,A4L 2019款 40 TFSI 进取型 国VI,自动,|新上架||0次过户|,2019,4.1,12.8
大众,帕萨特 2017款 280TSI DSG尊荣版,自动,|新上架||0次过户|,2017,7,6.98
奥迪,A4L 2013款 35 TFSI 自动舒适型,自动,|新上架||0次过户|,2013,10,5.5
马自达,CX4 2018款 2.0L 自动两驱蓝天活力版 国VI,自动,|新上架||0次过户|,2019,5,5.96
大众,迈腾 2018款 330TSI DSG 豪华型,自动,|新上架||0次过户|,2019,6,8.98
奥迪,A6L 2012款 30 FSI 舒适型,自动,|新上架||0次过户|,2012,12,8.28
奥迪,Q7 2014款 35 TFSI 进取型,自动,|0次过户|,2013,9.5,14
奥迪,A6L 2014款 TFSI 标准型,自动,|新上架||0次过户|,2014,10,9.08
宝马,5系 2018款 525Li 豪华套装,自动,|新上架||0次过户|,2018,6,17.8
奥迪,A6L 2019款 40 TFSI 豪华动感型,自动,|新上架||0次过户|,2019,3.8,20.5
丰田,汉兰达 2009款 2.7L 两驱5座精英版,自动,,2009,16.9,3.58
大众,宝来 2019款 宝来・传奇 1.5L 自动时尚型 国V,自动,|0次过户|,2018,6.5,4.38
奥迪,A3 2016款 Limousine 35 TFSI 风尚型,自动,|新上架||0次过户|,2016,7,6.5
坦克,300 2021款 越野版 2.0T 探索者,自动,|0次过户|,2020,2.8,12.25
现代,名图 2017款 1.8L 自动智能型GLS,自动,|0次过户|,2016,7.9,5.38
奥迪,A3 2018款 30周年年型 Limousine 35 TFSI 进取型,自动,|0次过户|,2018,6,7.88
吉利汽车,帝豪 2018款 1.5L CVT向上互联版,自动,|0次过户|,2018,5.8,2.98
现代,名图 2016款 1.8L 自动智能型GLS,自动,|0次过户|,2016,9.8,3.56
雪佛兰,科沃兹 2018款 320 自动欣享天窗版,自动,,2017,5.6,2.76
哈弗,H6 2013款 升级版 2.4L 自动两驱尊贵型,自动,|0次过户|,2013,11.8,2
福特,锐界 2015款 2.0T GTDi 两驱豪锐型,自动,|0次过户|,2016,9,6.8
大众,一汽CC 2011款 1.8TSI 尊贵型,自动,|新上架||0次过户|,2011,8.5,3.55
本田,锋范 2015款 1.5L CVT舒适版,自动,|0次过户|,2015,9,2.88
现代,索纳塔 2013款 2.0L 自动时尚版,自动,,2012,13.8,2.28
吉利汽车,星瑞 2021款 2.0TD 精英型,自动,|0次过户||原厂质保|,2021,3,5.18
红旗,HS5 2022款 2.0T 智联旗享乐购版,自动,|0次过户||原厂质保|,2022,2.6,10.54
哈弗,H9 2016款 2.0T 四驱精英型 5座,自动,|0次过户|,2016,8,4.89
哈弗,H6 2015款 运动版 1.5T 自动两驱豪华型,自动,|0次过户|,2015,9.3,2.48
东风风神,奕炫 2023款 1.5L 自动追影版,自动,|准新车||0次过户||原厂质保|,2022,2.3,4.2
奇瑞,瑞虎5 2014款 2.0L CVT家悦版,自动,|0次过户|,2014,11,1.66
长安,锐程CC 2021款 蓝鲸版 1.5T DCT精英型,自动,|0次过户|,2020,2.2,3.56
奥迪,Q5 2013款 40 TFSI 进取型,自动,|0次过户|,2013,12,6.88
众泰,大迈X7 2018款 2.0T 自动尊贵型,自动,|0次过户|,2017,6,2.88
五菱汽车,宏光MINIEV 2021款 马卡龙臻享款 磷酸铁锂,自动,|0次过户||原厂质保|,2021,3.5,2.1
现代,索纳塔 2011款 2.0L 自动尊贵版,自动,|0次过户|,2011,12,1.88
奥迪,A6L 2016款 TFSI 技术型,自动,|0次过户|,2016,7.8,12.98
吉利汽车,缤越 2020款 改款 240T DCT猎手,自动,|0次过户|,2020,3.8,4.98
起亚,K5 2020款 380T GTLine 尊贵科技版,自动,|新上架||0次过户|,2020,5.1,8.88
奇瑞,瑞虎8 2018款 1.5TCI 自动豪华型 5座,自动,|新上架||0次过户|,2018,5.8,4.3
本田,XRV 2015款 1.5L LXi CVT经典版,自动,|0次过户|,2014,9.4,4.1
吉利汽车,远景X3 2021款 PRO 1.5L 手动舒适型,手动,|0次过户||原厂质保|,2021,2.8,3.05
福特,福克斯 2015款 三厢 EcoBoost 125 自动超能风尚型,自动,|新上架||0次过户|,2015,9.3,3.36
本田,飞度 2021款 1.5L CVT潮启版,自动,|0次过户|,2020,5.3,4.88
福特,蒙迪欧 2013款 1.5L GTDi180舒适型,自动,|新上架||0次过户|,2013,10.3,3.1
本田,凌派 2013款 1.8L 自动舒适版,自动,|0次过户|,2012,8.6,2.65
红旗,H9 2020款 红旗H9 2.0T 智联旗悦版,自动,|0次过户|,2020,5,18.88
众泰,大迈X5 2015款 1.5T CVT地主型 国V,自动,|0次过户|,2014,6.8,1.28
奥迪,A4L 2013款 35 TFSI 自动技术型,自动,|0次过户|,2013,9,5.58
福特,翼搏 2013款 1.5L 自动尊贵型,自动,|0次过户|,2012,9.9,2.18
宝马,5系(进口) 2013款 520i 典雅型,自动,|0次过户|,2013,12,6.66
铃木,天语 SX4 2011款 1.6 自动 精英版,自动,,2010,9.96,1.18
东风风光,风光S560 2019款 1.8L CVT精英型,自动,|0次过户|,2018,5,2.8
别克,GL8 2014款 2.4L 经典版,自动,|新上架||0次过户|,2014,10.2,3.1
长安,CS75 2016款 1.8T 自动精英型 国IV,自动,|新上架||0次过户|,2016,6.6,3.1
比亚迪,S7 2016款 2.0T 自动尊贵型,自动,|新上架|,2015,10,2.18
别克,凯越 2008款 1.6LEAT,自动,|0次过户|,2007,11,0.55
起亚,K4 2017款 1.6T 自动TDLX Turbo,自动,|0次过户|,2016,7.8,4.2
奇瑞,瑞虎8 2021款 鲲鹏版 290TGDI 自动逐风+版,自动,|0次过户||原厂质保|,2021,7,6.68
雪佛兰,科鲁泽 2022款 320 自动悦享版,自动,|新上架||0次过户||原厂质保|,2021,6.3,4.28
奔驰,GLK级 2013款 GLK 300 4MATIC 动感型,自动,|0次过户|,2014,12,6.38
哈弗,H6 2021款 第三代 1.5T 自动两驱Max,自动,|0次过户||原厂质保|,2021,4.5,6.28
捷豹,XF 2013款 XF 3.0 SC 风华版,自动,|新上架||0次过户|,2013,12.5,5.88
奥迪,A5 2014款 Sportback 45 TFSI,自动,|0次过户|,2014,9.8,7.28
起亚,智跑 2012款 2.0L 自动两驱版NAVI,自动,|0次过户|,2013,11,3.38
比亚迪,S7 2016款 2.0T 自动豪华型,自动,|0次过户|,2015,7.9,1.98
大众,帕萨特 2017款 330TSI DSG尊荣版,自动,|0次过户|,2017,8,6.88
本田,凌派 2019款 180Turbo CVT舒适版 国VI,自动,|0次过户|,2019,6,4.38
大众,帕萨特 2015款 1.8TSI DSG尊荣版,自动,|新上架||0次过户|,2015,9,4.8
奥迪,A3 2014款 Limousine 35 TFSI 自动时尚型,自动,|0次过户|,2014,10,4.68
马自达,3 2010款 1.6L 自动经典时尚型,自动,|0次过户|,2009,12,1.35
大众,尚酷 2011款 2.0TSI RLine,自动,|新上架|,2010,12,3.88
福特,福克斯 2017款 两厢 1.6L 自动风尚型智行版,自动,|0次过户|,2017,9,4.38
别克,君越 2014款 2.0T SIDI 智享旗舰型,自动,|新上架||0次过户|,2014,9.6,4.2
路虎,揽胜极光 2015款 2.0T 五门智耀版,自动,|新上架|,2015,12,8.68
长安,CS55PLUS 2022款 第二代 1.5T DCT尊贵型,自动,|准新车||新上架||0次过户||原厂质保|,2022,3.8,6.48
铃木,雨燕 2013款 1.5L 自动20周年限量版,自动,|新上架||0次过户|,2012,12,2.18
马自达,阿特兹 2017款 2.0L 蓝天豪华版,自动,|0次过户|,2018,7.2,6.38
陆风,X7 2015款 2.0T 全景旗舰版,自动,,2014,11.2,1.88
长安,CS75 PLUS 2020款 试装车,变速箱,|新上架||0次过户|,2020,2.5,3.5
